,pair_of_objects,cause_directions,confounders,confidences
516,"knobs // stove top,stovetop","['z-to-xy', 'y-to-x', 'y-to-x', 'x-to-y', 'y-to-x']","['?', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
517,ground // shoe,"['x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y']","['', '?', '', '', '']","['confidence_2', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_3']"
518,tennis net // tennis court,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
519,window // room,"['y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x']","['', '', 'Wall', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
520,sinks // toilet tank,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy']","['bathroom', 'Bathroom', '?', '', 'bathroom']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
521,shoe // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Horse hair shoe for cleaning ', 'player', '?', 'Person']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_1', 'confidence_3']"
522,geese // swan,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'x-is-y', 'x-is-y']","['?', 'Species of bird', 'lake', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
523,ear // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Bunny Ear knot on shirt', 'person', '?', 'Person']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
524,end table // ottoman,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['setting', 'Furniture ', 'Livingroom ', '?', 'Armchair']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
525,window // street,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Street facing windows ', 'buildings', 'house', 'Outside']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
526,letter // sign,"['x-to-y', 'z-to-xy', 'y-to-x', 'z-to-xy', 'y-to-x']","['', 'Signed letter', '', '?', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_1', 'confidence_3']"
527,tv stand // dvd player,"['z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy', 'x-to-y']","['?', 'Home Entertainment equipment  ', '', '?', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
528,dial // controls,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-is-y']","['?', 'control panel auto dialer ', 'technology', '?', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_3']"
529,mound // baseball field,"['y-to-x', 'y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x']","['', '', '', '?', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
530,shack // tree branches,"['y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', 'forest', '?', 'Outside', 'forest']","['confidence_1', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
531,eyes // nose,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['face', 'face', 'body', 'Face', 'face']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
532,cpu // printer,"['x-to-y', 'x-to-y', 'x-to-y', 'z-to-xy', 'z-to-xy']","['', '', '', 'Computer', 'Electronics']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
533,water // sign,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'beach', '?', '?', 'Body of water/Identity']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_1', 'confidence_1']"
534,tusks // plain,"['z-to-xy', 'y-to-x', 'z-to-xy', 'x-to-y', 'z-to-xy']","['?', '', '?', 'Elephants', 'forest']","['confidence_2', 'confidence_1', 'confidence_2', 'confidence_2', 'confidence_2']"
535,meat // veggie,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'meal', '?', 'Dinner', 'Food']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
536,tree // head,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'outdoor/indoor', '?', '?', 'nature']","['confidence_2', 'confidence_1', 'confidence_3', 'confidence_1', 'confidence_1']"
537,glasses // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'head', '?', 'Head', 'head']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
538,floor // head,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'person', '?', '?', 'Building/person']","['confidence_2', 'confidence_1', 'confidence_2', 'confidence_1', 'confidence_1']"
539,police // police officer,"['x-is-y', 'x-is-y', 'x-to-y', 'x-to-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
540,electrical outlet // toilet lid,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Bathroom', 'Building', 'Room', 'indoor scene', 'bathroom']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
541,window // floor,"['z-to-xy', 'y-to-x', 'y-to-x', 'z-to-xy', 'z-to-xy']","['Room', '', '', 'indoor scene', 'house']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
542,light // ceiling,"['y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x']","['', 'Room', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
543,shoes // woman,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
544,reigns // halter,"['z-to-xy', 'z-to-xy', 'x-to-y', 'x-is-y', 'y-to-x']","['Horse', 'Horse', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_1']"
545,computer screen // cell phone,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Office', 'Electronics', 'Electronics', 'Technology', 'electric energy']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
546,tree // field,"['z-to-xy', 'y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x']","['Outside', '', '', 'outdoor scene', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
547,station // train station,"['x-is-y', 'x-is-y', 'x-to-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
548,"sausage // hot dogs,hotdogs","['x-to-y', 'x-to-y', 'x-to-y', 'x-is-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
549,pants // man,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
550,stoplight // signal,"['y-to-x', 'z-to-xy', 'x-is-y', 'x-is-y', 'z-to-xy']","['', 'street', '', '', 'road']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
551,freezer // burners,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'kitchen', '?', 'Kitchen', 'kitchen']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
552,tub // bath tub,"['x-is-y', 'z-to-xy', 'x-is-y', 'x-is-y', 'x-is-y']","['', 'bathroom', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
553,background // window,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', '?', 'Wall', '?']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_1']"
554,hand // head,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'body', 'body', 'Person', 'person']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
555,eyebrow // player,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x', 'y-to-x']","['?', 'human body', '?', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
556,face mask // kneepad,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'protection', '?', 'Athlete', 'player']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
557,bookcase // book shelf,"['x-is-y', 'y-to-x', 'z-to-xy', 'x-is-y', 'x-is-y']","['', '', 'library', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
558,head // dog,"['x-to-y', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
559,olives // blueberry,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['pancake', '?', 'salad/dessert', '?', 'Food']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_2']"
560,eye // head,"['y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x']","['', 'Person', '', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
561,mouth // man,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
562,teapot // tea kettle,"['x-is-y', 'z-to-xy', 'x-is-y', 'x-is-y', 'x-is-y']","['', '?', '', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_3']"
563,person // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', 'earth', '?', 'Outside']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
564,eye // mouth,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['face', 'Animal', 'head', 'head', 'Face']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
565,burger // french fries,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y', 'x-to-y']","['menu', '?', 'meal', '', '']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_3']"
566,flower // man,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['park', '?', '?', 'watering can', '?']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_3']"
567,tissue // tissue box,"['y-to-x', 'x-is-y', 'y-to-x', 'x-is-y', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
568,traffic signal // signal,"['z-to-xy', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['road', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
569,ground // tree,"['x-to-y', 'z-to-xy', 'z-to-xy', 'x-to-y', 'x-to-y']","['', '?', 'Outside', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
570,mouth // face,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
571,glasses // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['man', '?', 'Person', 'man', '?']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_1', 'confidence_2']"
572,face // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['man', '?', 'Person', 'woman', '?']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_2']"
573,flower // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', 'Gardener', '?', '?']","['confidence_1', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
574,people // head,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
575,skirt // woman,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
576,road // building,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['street', '?', 'Outside', 'city', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
577,pony // calf,"['z-to-xy', 'x-is-y', 'z-to-xy', 'z-to-xy', 'x-to-y']","['?', '', 'Farm', 'barn', '']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_3']"
578,rider // jockey,"['x-to-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_1', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
579,window // house,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
580,floor // ceiling,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['room', 'house', 'Room', 'Wall', 'room']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
581,sunglasses // woman,"['y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x']","['', '?', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
582,crowd // shirt,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['person', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
583,suit // head,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy']","['body', 'human', 'Person', '', 'person']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
584,beach // bathroom,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['outdoors/indoors', '?', '?', '?', 'water']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
585,arm // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy']","['body', 'human', 'Person', '', 'person']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
586,bowl // table,"['y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x']","['', '?', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
587,floor // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['ceiling', '?', '?', '?', 'existense']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_1']"
588,head // building,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['man', '?', '?', '?', 'Community']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_2']"
589,head // glasses,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
590,key // remotes,"['z-to-xy', 'z-to-xy', 'x-is-y', 'z-to-xy', 'z-to-xy']","['electronic components', '?', '', '?', 'Building']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_1', 'confidence_2']"
591,beard // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person', '?', 'Man', 'people', 'man']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
592,bears // cub,"['z-to-xy', 'z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y']","['?', 'mating', '', '', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_2', 'confidence_3']"
593,towel rack // basin,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'bathroom', 'bathroom', 'Bathroom', 'Bathroom']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
594,muffler // gas tank,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['bike', 'vehicle', '?', 'Car', 'Motorbike']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
595,grass // floor,"['z-to-xy', 'y-to-x', 'y-to-x', 'z-to-xy', 'z-to-xy']","['?', '', '', 'Patio', 'Land']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
596,goose // ducks,"['z-to-xy', 'z-to-xy', 'x-is-y', 'z-to-xy', 'z-to-xy']","['?', 'lake', '', 'Lake', '?']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
597,mango // melon,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'tree', '?', 'Fruits', '?']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
598,hat // shirt,"['z-to-xy', 'z-to-xy', 'x-is-y', 'z-to-xy', 'z-to-xy']","['?', 'person', '?', 'Person', 'people']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
599,eye // building,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '', '?', '?', '?']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_1', 'confidence_3']"
600,ear // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'atmosphere ', '?', '?', '?']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_2']"
601,oar // paddle,"['x-to-y', 'z-to-xy', 'x-to-y', 'z-to-xy', 'x-is-y']","['', 'Boat', '', '?', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
602,herbs // tines,"['z-to-xy', 'y-to-x', 'x-to-y', 'z-to-xy', 'z-to-xy']","['?', '', '', '?', '?']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_1']"
603,suit // woman,"['x-is-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x']","['', 'proposal', 'wedding', '?', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
604,hat // pants,"['z-to-xy', 'z-to-xy', None, 'z-to-xy', 'z-to-xy']","['?', 'game', None, '?', 'Person']","['confidence_2', 'confidence_3', None, 'confidence_2', 'confidence_3']"
605,trees // grass,"['z-to-xy', 'z-to-xy', None, 'x-is-y', 'z-to-xy']","['?', 'Field', None, '?', 'Outside']","['confidence_2', 'confidence_3', None, 'confidence_1', 'confidence_2']"
606,fence // building,"['y-to-x', None, None, 'z-to-xy', 'z-to-xy']","['', None, None, '?', 'Outside']","['confidence_3', None, None, 'confidence_2', 'confidence_2']"
607,face // ear,"['x-to-y', None, None, 'x-to-y', 'x-to-y']","['', None, None, '', '']","['confidence_3', None, None, 'confidence_2', 'confidence_3']"
608,taxi cab // taxi,"['x-is-y', None, None, 'x-is-y', 'x-is-y']","['', None, None, '', '']","['confidence_3', None, None, 'confidence_3', 'confidence_3']"
609,potatoes // potato,"['x-is-y', None, None, 'x-is-y', 'x-is-y']","['', None, None, '', '']","['confidence_3', None, None, 'confidence_3', 'confidence_3']"
610,clouds // sky,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
611,plug // electronics,"['x-to-y', 'x-to-y', 'z-to-xy', 'y-to-x', 'x-to-y']","['', '', 'room', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
612,wii // wii remote,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
613,sock // player,"['y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x']","['', '', '?', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
614,floors // shop,"['x-to-y', 'x-to-y', 'y-to-x', 'y-to-x', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
615,woods // player,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'forest/city', '?', 'Outside', '?']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
616,trees // hand,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Person', '?', 'Gardener', '?']","['confidence_2', 'confidence_1', 'confidence_2', 'confidence_2', 'confidence_3']"
617,dress // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'open hill/party', '?', '?', '?']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_3']"
618,police // policeman,"['x-is-y', 'x-to-y', 'x-is-y', 'x-is-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
619,boy // man,"['z-to-xy', 'x-is-y', 'x-is-y', 'y-to-x', 'x-is-y']","['growing up', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2']"
620,face // building,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['man', 'person', '?', '?', 'Community']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_1']"
621,woman // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['earth', '?', '?', '?', 'Universe']","['confidence_1', 'confidence_1', 'confidence_2', 'confidence_1', 'confidence_1']"
622,leaves // tree,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
623,image // players,"['y-to-x', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy']","['', '?', '?', '', 'Humans']","['confidence_1', 'confidence_1', 'confidence_2', 'confidence_2', 'confidence_2']"
624,brocolli // broccoli,"['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
625,oven door // tea kettle,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['kitchen', 'stovetop', '?', 'stove', 'Cooking']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
626,outfield // pitcher's mound,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy']","['baseball', 'baseball field', 'baseball field', '', 'Sports']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
627,back wheel // spokes,"['x-to-y', 'x-to-y', 'z-to-xy', 'x-to-y', 'y-to-x']","['', '', '?', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
628,taxi cab // cab,"['z-to-xy', 'x-is-y', 'x-is-y', 'y-to-x', 'x-is-y']","['Vehicle ', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
629,head // hair,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['Upper human body ', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
630,pans // soda can,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Kitchen utensils ', 'food', '?', 'kitchen', '?']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
631,skatepark // skateboarder,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
632,shoe // grass,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x']","['Eco Shoe- shoe made with grass', 'athlete', '?', '?', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
633,tennis // tennis court,"['x-to-y', 'y-to-x', 'x-is-y', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
634,ball // man,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', 'y-to-x']","['Soccer ', '', '?', 'sport', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
635,traffic // lane,"['z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['Roadways ', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
636,railings // street lamp,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', 'Outside', 'street', 'Outdoor']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
637,men // man,"['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
638,roll // paper towel,"['x-to-y', 'z-to-xy', 'x-to-y', 'y-to-x', 'y-to-x']","['', '?', '', '', '']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_1']"
639,trick // skateboarder,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
640,outfield // home plate,"['x-to-y', 'z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy']","['', 'baseball field', 'Baseball field', '', 'Sports']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
641,dress // woman,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_3']"
